"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"mathjaxr","mathjaxr","C:/Users/romai/AppData/Local/R/win-library/4.2","1.6-0",NA,NA,NA,NA,"js",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"Matrix","Matrix","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4-1","recommended","R (>= 3.5.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc, igraph, maptools, sp,
spdep","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.2.0"
"MatrixModels","MatrixModels","C:/Users/romai/AppData/Local/R/win-library/4.2","0.5-0",NA,"R (>= 3.0.1)","stats, methods, Matrix (>= 1.1-5)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"matrixStats","matrixStats","C:/Users/romai/AppData/Local/R/win-library/4.2","0.62.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"maxLik","maxLik","C:/Users/romai/AppData/Local/R/win-library/4.2","1.5-2",NA,"R (>= 2.4.0), miscTools (>= 0.6-8), methods","sandwich, generics",NA,"MASS, clue, dlm, plot3D, tibble, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"mc2d","mc2d","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1-21",NA,"R (>= 2.10.0), mvtnorm","stats, grDevices, graphics, utils",NA,"fitdistrplus, survival, testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"mclust","mclust","C:/Users/romai/AppData/Local/R/win-library/4.2","5.4.10",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"MCMCglmm","MCMCglmm","C:/Users/romai/AppData/Local/R/win-library/4.2","2.33",NA,"Matrix, coda, ape","corpcor, tensorA, cubature, methods",NA,"rgl, combinat, mvtnorm, orthopolynom",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"mda","mda","C:/Users/romai/AppData/Local/R/win-library/4.2","0.5-3",NA,"R (>= 3.5.0), stats, class",NA,NA,"earth, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"measurements","measurements","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4.0",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"mediation","mediation","C:/Users/romai/AppData/Local/R/win-library/4.2","4.5.0",NA,"R (>= 2.15.1), MASS, Matrix, mvtnorm, sandwich","lpSolve, Hmisc, lme4 (>= 1.0), stats, graphics, grDevices,
utils, boot",NA,"mgcv, quantreg, VGAM, SuppDists, survival, parallel,
testthat, speedglm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"memoise","memoise","C:/Users/romai/AppData/Local/R/win-library/4.2","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"MEMSS","MEMSS","C:/Users/romai/AppData/Local/R/win-library/4.2","0.9-3",NA,"R(>= 2.12.0), lme4 (>= 0.999375-36)",NA,NA,"lattice",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"merTools","merTools","C:/Users/romai/AppData/Local/R/win-library/4.2","0.5.2",NA,"R (>= 3.0.2), arm, lme4 (>= 1.1-11), methods","dplyr, mvtnorm, foreach, shiny, abind, ggplot2, blme,
broom.mixed,",NA,"testthat, knitr, rmarkdown, parallel, nlme, future.apply,
rstanarm, Amelia, DT",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"meta","meta","C:/Users/romai/AppData/Local/R/win-library/4.2","5.2-0",NA,"R (>= 4.0.0)","metafor (>= 3.0-0), grid, lme4, CompQuadForm, xml2",NA,"BiasedUrn",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"metaBMA","metaBMA","C:/Users/romai/AppData/Local/R/win-library/4.2","0.6.7",NA,"R (>= 3.4.0), Rcpp (>= 1.0.0), methods","bridgesampling, coda, LaplacesDemon, logspline, mvtnorm,
RcppParallel (>= 5.0.1), rstan (>= 2.18.1), rstantools (>=
2.1.1)","BH (>= 1.66.0), Rcpp (>= 1.0.0), RcppEigen (>= 0.3.3.3.0),
RcppParallel (>= 5.0.1), rstan (>= 2.18.1), StanHeaders (>=
2.18.0)","testthat, knitr, rmarkdown, spelling",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"metadat","metadat","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2-0",NA,"R (>= 4.0.0)","utils, tools, mathjaxr",NA,"metafor, numDeriv, BiasedUrn, dfoptim, igraph, ape, testthat,
digest, lme4, clubSandwich, meta, netmeta, mvtnorm, gridExtra,
rms",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"metafor","metafor","C:/Users/romai/AppData/Local/R/win-library/4.2","3.4-0",NA,"R (>= 4.0.0), methods, Matrix, metadat","stats, utils, graphics, grDevices, nlme, mathjaxr, pbapply",NA,"lme4, numDeriv, pracma, minqa, nloptr, dfoptim, ucminf,
lbfgsb3c, subplex, BB, optimParallel, CompQuadForm, mvtnorm,
BiasedUrn, Epi, survival, GLMMadaptive, glmmTMB, multcomp, gsl,
sp, ape, boot, clubSandwich, crayon, R.rsp, testthat,
rmarkdown, wildmeta",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"mets","mets","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.9",NA,"R (>= 3.5), timereg (>= 1.9.4), lava (>= 1.6.6)","mvtnorm, numDeriv, compiler, Rcpp, splines, survival (>=
2.43-1),","Rcpp, RcppArmadillo, mvtnorm","optimx, prodlim, cmprsk, testthat (>= 0.11), ucminf, knitr,
rmarkdown, ggplot2, cowplot, icenReg",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"mfx","mfx","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2-2",NA,"stats, sandwich, lmtest, MASS, betareg",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"mgcv","mgcv","C:/Users/romai/AppData/Local/R/win-library/4.2","1.8-40","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"mgcViz","mgcViz","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.9",NA,"R (>= 3.4), mgcv (>= 1.8-28), qgam (>= 1.2.3), ggplot2","gamm4, matrixStats, viridis, GGally, KernSmooth, gridExtra,
plyr, shiny, miniUI",NA,"rgl, knitr, rmarkdown, testthat, MASS, webshot2",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"mhurdle","mhurdle","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3-0",NA,"R (>= 2.10)","Formula, truncreg, maxLik, survival, Rdpack, prediction,
margins, generics, numDeriv",NA,"knitr, rmarkdown, lmtest, xtable, bookdown, texreg, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"mice","mice","C:/Users/romai/AppData/Local/R/win-library/4.2","3.14.0",NA,"R (>= 2.10.0)","broom, dplyr, generics, graphics, grDevices, lattice, methods,
Rcpp, rlang, stats, tidyr, utils, withr","cpp11, Rcpp","broom.mixed, decor, glmnet, haven, knitr, lme4, lmtest, MASS,
metafor, mitml, miceadds, nnet, pan, randomForest, ranger,
rmarkdown, rpart, survival, testthat",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"microbenchmark","microbenchmark","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4.9",NA,NA,"graphics, stats",NA,"ggplot2, multcomp, RUnit",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"mime","mime","C:/Users/romai/AppData/Local/R/win-library/4.2","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.2.0"
"miniUI","miniUI","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"minqa","minqa","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.4",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"misc3d","misc3d","C:/Users/romai/AppData/Local/R/win-library/4.2","0.9-1",NA,NA,"grDevices, graphics, stats, tcltk",NA,"rgl, tkrplot, MASS",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"miscTools","miscTools","C:/Users/romai/AppData/Local/R/win-library/4.2","0.6-26",NA,"R (>= 2.14.0)","digest",NA,"Ecdat (>= 0.1-5)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"mitools","mitools","C:/Users/romai/AppData/Local/R/win-library/4.2","2.4",NA,NA,"DBI, methods, stats",NA,"RODBC, foreign",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"mlbench","mlbench","C:/Users/romai/AppData/Local/R/win-library/4.2","2.1-3",NA,"R (>= 2.10)",NA,NA,"lattice",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"MLmetrics","MLmetrics","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1.1",NA,"R (>= 2.10)","stats, utils, ROCR",NA,"e1071",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"mlmRev","mlmRev","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0-8",NA,"lme4, R (>= 2.10)",NA,NA,"lattice",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"mlogit","mlogit","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1-1",NA,"R (>= 2.10), dfidx","Formula, zoo, lmtest, statmod, MASS, Rdpack",NA,"knitr, car, nnet, lattice, AER, ggplot2, texreg, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"mlt","mlt","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4-1",NA,"basefun (>= 1.1-2), variables (>= 1.1-0)","BB, alabama, stats, coneproj, graphics, methods, grDevices,
sandwich, numDeriv, survival, Matrix",NA,"MASS, nnet, TH.data, multcomp",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"mnormt","mnormt","C:/Users/romai/AppData/Local/R/win-library/4.2","2.0.2",NA,"R (>= 2.2.0)","tmvnsim (>= 1.0-2)",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"mockery","mockery","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4.3",NA,NA,"testthat",NA,"knitr, R6, rmarkdown (>= 1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"mockr","mockr","C:/Users/romai/AppData/Local/R/win-library/4.2","0.2.0",NA,NA,"rlang, withr",NA,"covr, fs, knitr, pkgload, rmarkdown, testthat, usethis",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"modelbased","modelbased","C:/Users/romai/AppData/Local/R/win-library/4.2","0.8.1",NA,"R (>= 3.4)","bayestestR (>= 0.12.1), effectsize (>= 0.6.0.1), insight (>=
0.17.1), datawizard (>= 0.4.1), parameters (>= 0.18.0),
performance (>= 0.8.0), graphics, stats, utils",NA,"brms, coda, correlation, dplyr, emmeans (>= 1.5.3), forcats,
gamm4, gganimate, ggplot2, glmmTMB, knitr, lme4, logspline,
MASS, Matrix, marginaleffects, merTools, mgcv, patchwork,
report, rmarkdown, rstanarm, rtdists, see (>= 0.7.0), spelling,
testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"modeldata","modeldata","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.1",NA,"R (>= 2.10)",NA,NA,"covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"ModelMetrics","ModelMetrics","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.2.2",NA,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"modelr","modelr","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.8",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"modeltests","modeltests","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.4",NA,"R (>= 3.1)","dplyr (>= 0.7.6), generics, purrr (>= 0.2.5), testthat (>=
2.0.0), tibble (>= 3.0.0)",NA,"covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"modeltools","modeltools","C:/Users/romai/AppData/Local/R/win-library/4.2","0.2-23",NA,"stats, stats4","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"mondate","mondate","C:/Users/romai/AppData/Local/R/win-library/4.2","0.10.02",NA,"utils, methods, R (>= 3.0.0)",NA,NA,"zoo",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"move","move","C:/Users/romai/AppData/Local/R/win-library/4.2","4.1.6",NA,"geosphere (>= 1.4-3), methods, sp, raster (>= 3.5.2), rgdal, R
(>= 3.5.0)","httr, memoise, xml2, Rcpp","Rcpp","adehabitatHR, adehabitatLT, markdown, rmarkdown, circular,
ggmap, mapproj, maptools, testthat, knitr, ggplot2, leaflet,
lubridate, ctmm, amt, bcpa, EMbC",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"moveHMM","moveHMM","C:/Users/romai/AppData/Local/R/win-library/4.2","1.8",NA,"CircStats","Rcpp, boot, MASS, sp, geosphere, ggplot2, ggmap, numDeriv","Rcpp, RcppArmadillo","testthat, knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"moveVis","moveVis","C:/Users/romai/AppData/Local/R/win-library/4.2","0.10.5",NA,"R (>= 3.5.0)","move, raster, sf, lwgeom, slippymath, lubridate, curl,
ggplot2, cowplot, magick, gifski, av, pbapply, magrittr,
methods, stats",NA,"parallel, mapview, leaflet, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"MPV","MPV","C:/Users/romai/AppData/Local/R/win-library/4.2","1.57",NA,"R (>= 2.0.1), lattice, KernSmooth",NA,NA,NA,NA,"Unlimited",NA,NA,NA,NA,"no","4.2.0"
"mratios","mratios","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4.2",NA,"R (>= 2.12.0)","mvtnorm, multcomp, survival, survPresmooth, stats",NA,"nlme",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"msm","msm","C:/Users/romai/AppData/Local/R/win-library/4.2","1.6.9",NA,NA,"survival,mvtnorm,expm",NA,"mstate,minqa,doParallel,foreach,numDeriv,testthat,flexsurv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"muhaz","muhaz","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.6.4",NA,"R(>= 2.3)","survival",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.2.0"
"multcomp","multcomp","C:/Users/romai/AppData/Local/R/win-library/4.2","1.4-19",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5), fixest (>= 0.10)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"multcompView","multcompView","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1-8",NA,NA,"grid",NA,"multcomp, pgirmess, MASS",NA,"GPL",NA,NA,NA,NA,"no","4.2.1"
"multgee","multgee","C:/Users/romai/AppData/Local/R/win-library/4.2","1.8.0",NA,"R (>= 2.15.0), gnm","stats, utils, VGAM, Rcpp","Rcpp, RcppArmadillo","knitr, rmarkdown, rticles",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"multicool","multicool","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1-12",NA,"methods, Rcpp (>= 0.11.2)",NA,"Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"multiwayvcov","multiwayvcov","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.3",NA,"R (>= 3.0.0)","sandwich, boot, compiler, parallel, stats, utils",NA,"lmtest",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"MuMIn","MuMIn","C:/Users/romai/AppData/Local/R/win-library/4.2","1.46.0",NA,"R (>= 3.5.0)","graphics, methods, Matrix, stats, stats4, nlme",NA,"lme4 (>= 1.1.0), mgcv (>= 1.7.5), gamm4, MASS, nnet, survival
(>= 3.1.0), geepack","aod, aods3, betareg, caper, coxme, cplm, gee, glmmML,
logistf, MCMCglmm, ordinal, pscl, spdep, spatialreg, splm,
unmarked (>= 0.12.2), geeM (>= 0.7.5), gamlss","GPL-2",NA,NA,NA,NA,"no","4.2.0"
"munsell","munsell","C:/Users/romai/AppData/Local/R/win-library/4.2","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"mvabund","mvabund","C:/Users/romai/AppData/Local/R/win-library/4.2","4.2.1",NA,"R (>= 3.5.0)","Rcpp, MASS, methods, stats, tweedie, statmod, parallel","Rcpp, RcppGSL","testthat",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.2.0"
"mvtnorm","mvtnorm","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1-3",NA,"R(>= 3.5.0)","stats, methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"nanotime","nanotime","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.6",NA,NA,"methods, bit64, RcppCCTZ (>= 0.2.9), zoo","Rcpp, RcppCCTZ, RcppDate","tinytest, data.table, xts",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"ncdf4","ncdf4","C:/Users/romai/AppData/Local/R/win-library/4.2","1.19",NA,NA,NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"ncdfgeom","ncdfgeom","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1.1",NA,"R (>= 3.5)","RNetCDF, ncmeta, sf, dplyr, methods",NA,"testthat, knitr, rmarkdown, pkgdown, sp, geoknife, ncdf4,
jsonlite",NA,"CC0",NA,NA,NA,NA,"no","4.2.0"
"ncdump","ncdump","C:/Users/romai/AppData/Local/R/win-library/4.2","0.0.3",NA,NA,"dplyr, ncdf4",NA,"testthat, knitr, rmarkdown, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"ncmeta","ncmeta","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.0",NA,"R (>= 3.3.0)","dplyr, rlang, RNetCDF, tibble, stats, tidyr",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"network","network","C:/Users/romai/AppData/Local/R/win-library/4.2","1.17.2",NA,"R (>= 2.10), utils","tibble, magrittr, statnet.common (>= 4.5), stats",NA,"sna, testthat, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"NISTunits","NISTunits","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.1",NA,"R (>= 2.7.0)",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"NlcOptim","NlcOptim","C:/Users/romai/AppData/Local/R/win-library/4.2","0.6",NA,"MASS, R (>= 3.2.2)","quadprog",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"nleqslv","nleqslv","C:/Users/romai/AppData/Local/R/win-library/4.2","3.3.2",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"nlme","nlme","C:/Users/romai/AppData/Local/R/win-library/4.2","3.1-157","recommended","R (>= 3.5.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS, SASmixed",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"nloptr","nloptr","C:/Users/romai/AppData/Local/R/win-library/4.2","2.0.3",NA,NA,NA,"testthat","knitr, rmarkdown, xml2, testthat (>= 3.0.0), covr",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"NLP","NLP","C:/Users/romai/AppData/Local/R/win-library/4.2","0.2-1",NA,"R (>= 3.2.0)","utils",NA,NA,"udpipe, spacyr, cleanNLP","GPL-3",NA,NA,NA,NA,"no","4.2.0"
"nnet","nnet","C:/Users/romai/AppData/Local/R/win-library/4.2","7.3-17","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"nonnest2","nonnest2","C:/Users/romai/AppData/Local/R/win-library/4.2","0.5-5",NA,"R (>= 3.0.0)","CompQuadForm, mvtnorm, lavaan (>= 0.6-6), sandwich",NA,"mirt (>= 1.26.3), AER, MASS, faraway, mlogit, ordinal, pscl,
knitr, rmarkdown, testthat",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"nor1mix","nor1mix","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3-0",NA,NA,"stats, graphics",NA,"cluster",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"numDeriv","numDeriv","C:/Users/romai/AppData/Local/R/win-library/4.2","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"nycflights13","nycflights13","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.2",NA,"R (>= 3.2)","tibble",NA,"dplyr",NA,"CC0",NA,NA,NA,NA,"no","4.2.0"
"oai","oai","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4.0",NA,NA,"xml2 (>= 1.0.0), httr (>= 1.2.0), plyr (>= 1.8.4), stringr (>=
1.1.0), tibble (>= 1.2)",NA,"DBI, knitr, RSQLite, testthat, markdown, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"odbc","odbc","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3.3",NA,"R (>= 3.2.0)","bit64, blob (>= 1.2.0), DBI (>= 1.0.0), hms, methods, rlang,
Rcpp (>= 0.12.11)","Rcpp","covr, DBItest, magrittr, RSQLite, testthat, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"officer","officer","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4.2",NA,NA,"R6, grDevices, stats, graphics, utils, zip (>= 2.1.0), uuid
(>= 0.1-4), xml2 (>= 1.1.0)",NA,"testthat, devEMF, ggplot2, rmarkdown, base64enc, knitr, rsvg",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"openNLP","openNLP","C:/Users/romai/AppData/Local/R/win-library/4.2","0.2-7",NA,NA,"NLP (>= 0.1-6.3), openNLPdata (>= 1.5.3-1), rJava (>= 0.6-3)",NA,"openNLPmodels.en",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"openNLPdata","openNLPdata","C:/Users/romai/AppData/Local/R/win-library/4.2","1.5.3-4",NA,NA,"rJava (>= 0.6-3)",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"openssl","openssl","C:/Users/romai/AppData/Local/R/win-library/4.2","2.0.2",NA,NA,"askpass",NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"OpenStreetMap","OpenStreetMap","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.4",NA,"methods, R (>= 2.10.0)","grDevices, ggplot2 (>= 0.9.0), rJava, raster, rgdal, sp",NA,"colorspace, maptools",NA,"GPL-2 | file LICENCE",NA,NA,NA,NA,"no","4.2.0"
"openxlsx","openxlsx","C:/Users/romai/AppData/Local/R/win-library/4.2","4.2.5",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, stringi, utils, zip","Rcpp","knitr, rmarkdown, roxygen2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"operator.tools","operator.tools","C:/Users/romai/AppData/Local/R/win-library/4.2","1.6.3",NA,NA,"utils (>= 3.3.2)",NA,"operators (>= 0.1.8), magrittr (>= 1.5), testthat (>= 1.0.2)",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"optimx","optimx","C:/Users/romai/AppData/Local/R/win-library/4.2","2022-4.30",NA,NA,"numDeriv",NA,"knitr, rmarkdown, setRNG, BB, ucminf, minqa, dfoptim,
lbfgsb3c, lbfgs, subplex",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"orcutt","orcutt","C:/Users/romai/AppData/Local/R/win-library/4.2","2.3",NA,"lmtest","stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"ordinal","ordinal","C:/Users/romai/AppData/Local/R/win-library/4.2","2019.12-10",NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv",NA,"lme4, nnet, xtable, testthat (>= 0.8), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"orthopolynom","orthopolynom","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0-6",NA,"R (>= 2.0.1)","polynom, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"oskeyring","oskeyring","C:/Users/romai/AppData/Local/R/win-library/4.2","0.1.3",NA,NA,NA,NA,"askpass, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"osqp","osqp","C:/Users/romai/AppData/Local/R/win-library/4.2","0.6.0.5",NA,NA,"Rcpp (>= 0.12.14), methods, Matrix, R6","Rcpp","testthat",NA,"Apache License 2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"packrat","packrat","C:/Users/romai/AppData/Local/R/win-library/4.2","0.8.0",NA,"R (>= 3.0.0)","tools, utils",NA,"testthat (>= 3.0.0), devtools, httr, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
